,time (minutes),percents,optimization
17,1.3371119913790408,0.6666666666666666,topk-masking-0.1
18,1.4113959909000988,0.6666666666666666,topk-masking-0.1
19,1.4856799904211568,0.6666666666666666,topk-masking-0.1
0,0.0484186610421785,0.36666666666666664,topk-masking-0.5
1,0.096837322084357,0.36666666666666664,topk-masking-0.5
2,0.1452559831265355,0.4666666666666667,topk-masking-0.5
3,0.193674644168714,0.4666666666666667,topk-masking-0.5
4,0.2420933052108925,0.5,topk-masking-0.5
5,0.290511966253071,0.5333333333333333,topk-masking-0.5
6,0.3389306272952495,0.5666666666666667,topk-masking-0.5
7,0.387349288337428,0.6,topk-masking-0.5
8,0.4357679493796065,0.5666666666666667,topk-masking-0.5
9,0.484186610421785,0.5333333333333333,topk-masking-0.5
10,0.5326052714639635,0.5666666666666667,topk-masking-0.5
11,0.581023932506142,0.5666666666666667,topk-masking-0.5
12,0.6294425935483204,0.5666666666666667,topk-masking-0.5
13,0.677861254590499,0.5666666666666667,topk-masking-0.5
14,0.7262799156326776,0.5666666666666667,topk-masking-0.5
15,0.774698576674856,0.5333333333333333,topk-masking-0.5
16,0.8231172377170346,0.5333333333333333,topk-masking-0.5
17,0.871535898759213,0.5333333333333333,topk-masking-0.5
18,0.9199545598013915,0.5333333333333333,topk-masking-0.5
19,0.96837322084357,0.5333333333333333,topk-masking-0.5
0,0.05501079254159017,0.4666666666666667,topk-desired-masking-0.1
1,0.11002158508318034,0.6333333333333333,topk-desired-masking-0.1
2,0.16503237762477052,0.6,topk-desired-masking-0.1
3,0.22004317016636069,0.6,topk-desired-masking-0.1
4,0.27505396270795085,0.6666666666666666,topk-desired-masking-0.1
5,0.33006475524954104,0.6666666666666666,topk-desired-masking-0.1
6,0.38507554779113123,0.7,topk-desired-masking-0.1
7,0.44008634033272137,0.6666666666666666,topk-desired-masking-0.1
8,0.49509713287431156,0.6666666666666666,topk-desired-masking-0.1
9,0.5501079254159017,0.7,topk-desired-masking-0.1
10,0.6051187179574918,0.6666666666666666,topk-desired-masking-0.1
11,0.6601295104990821,0.6666666666666666,topk-desired-masking-0.1
12,0.7151403030406722,0.7,topk-desired-masking-0.1
13,0.7701510955822625,0.7,topk-desired-masking-0.1
14,0.8251618881238525,0.7333333333333333,topk-desired-masking-0.1
15,0.8801726806654427,0.6666666666666666,topk-desired-masking-0.1
16,0.9351834732070329,0.6666666666666666,topk-desired-masking-0.1
17,0.9901942657486231,0.7,topk-desired-masking-0.1
18,1.0452050582902133,0.6666666666666666,topk-desired-masking-0.1
19,1.1002158508318034,0.6333333333333333,topk-desired-masking-0.1
0,0.04687144173446525,0.43333333333333335,topk-desired-masking-0.5
1,0.0937428834689305,0.43333333333333335,topk-desired-masking-0.5
2,0.14061432520339578,0.4666666666666667,topk-desired-masking-0.5
3,0.187485766937861,0.5,topk-desired-masking-0.5
4,0.2343572086723263,0.5333333333333333,topk-desired-masking-0.5
5,0.28122865040679157,0.6,topk-desired-masking-0.5
6,0.3281000921412568,0.6,topk-desired-masking-0.5
7,0.374971533875722,0.6,topk-desired-masking-0.5
8,0.4218429756101873,0.6,topk-desired-masking-0.5
9,0.4687144173446526,0.6,topk-desired-masking-0.5
10,0.5155858590791178,0.5666666666666667,topk-desired-masking-0.5
11,0.5624573008135831,0.5666666666666667,topk-desired-masking-0.5
12,0.6093287425480484,0.5666666666666667,topk-desired-masking-0.5
13,0.6562001842825136,0.5666666666666667,topk-desired-masking-0.5
14,0.7030716260169788,0.5666666666666667,topk-desired-masking-0.5
15,0.749943067751444,0.5666666666666667,topk-desired-masking-0.5
16,0.7968145094859094,0.5666666666666667,topk-desired-masking-0.5
17,0.8436859512203746,0.5666666666666667,topk-desired-masking-0.5
18,0.8905573929548399,0.5666666666666667,topk-desired-masking-0.5
19,0.9374288346893052,0.5666666666666667,topk-desired-masking-0.5
0,0.08868363601307638,0.36666666666666664,0.1
1,0.17736727202615277,0.5666666666666667,0.1
2,0.2660509080392292,0.6,0.1
3,0.35473454405230553,0.6333333333333333,0.1
4,0.443418180065382,0.7333333333333333,0.1
5,0.5321018160784584,0.7,0.1
6,0.6207854520915348,0.7333333333333333,0.1
7,0.7094690881046111,0.7333333333333333,0.1
8,0.7981527241176876,0.7,0.1
9,0.886836360130764,0.7666666666666667,0.1
10,0.9755199961438403,0.7666666666666667,0.1
11,1.0642036321569168,0.8666666666666667,0.1
12,1.152887268169993,0.8666666666666667,0.1
13,1.2415709041830696,0.8666666666666667,0.1
14,1.3302545401961459,0.9,0.1
15,1.4189381762092221,0.9,0.1
16,1.5076218122222989,0.9,0.1
17,1.5963054482353751,0.9,0.1
18,1.6849890842484516,1.0,0.1
19,1.773672720261528,1.0,0.1
0,0.056936760013901994,0.43333333333333335,0.5
1,0.11387352002780399,0.4666666666666667,0.5
2,0.17081028004170598,0.4666666666666667,0.5
3,0.22774704005560797,0.4666666666666667,0.5
4,0.28468380006950994,0.5333333333333333,0.5
5,0.34162056008341196,0.5333333333333333,0.5
6,0.3985573200973139,0.5666666666666667,0.5
7,0.45549408011121595,0.5666666666666667,0.5
8,0.5124308401251179,0.5,0.5
9,0.5693676001390199,0.5666666666666667,0.5
10,0.6263043601529219,0.6,0.5
11,0.6832411201668239,0.5666666666666667,0.5
12,0.7401778801807258,0.6,0.5
13,0.7971146401946279,0.6333333333333333,0.5
14,0.8540514002085299,0.6333333333333333,0.5
15,0.9109881602224319,0.6333333333333333,0.5
16,0.9679249202363338,0.6666666666666666,0.5
17,1.0248616802502357,0.6666666666666666,0.5
18,1.0817984402641379,0.6666666666666666,0.5
19,1.1387352002780398,0.6666666666666666,0.5
0,0.0824323876957611,0.3333333333333333,topk-0.1
1,0.1648647753915222,0.5666666666666667,topk-0.1
2,0.24729716308728328,0.6,topk-0.1
3,0.3297295507830444,0.6666666666666666,topk-0.1
4,0.41216193847880545,0.7666666666666667,topk-0.1
5,0.49459432617456656,0.7333333333333333,topk-0.1
6,0.5770267138703277,0.7333333333333333,topk-0.1
7,0.6594591015660888,0.7333333333333333,topk-0.1
8,0.7418914892618499,0.7333333333333333,topk-0.1
9,0.8243238769576109,0.7333333333333333,topk-0.1
10,0.906756264653372,0.8,topk-0.1
11,0.9891886523491331,0.8333333333333334,topk-0.1
12,1.0716210400448942,0.8666666666666667,topk-0.1
13,1.1540534277406553,0.8666666666666667,topk-0.1
14,1.2364858154364164,0.8666666666666667,topk-0.1
15,1.3189182031321776,0.8666666666666667,topk-0.1
16,1.4013505908279384,0.9,topk-0.1
17,1.4837829785236998,0.8666666666666667,topk-0.1
18,1.5662153662194607,0.8666666666666667,topk-0.1
19,1.6486477539152218,0.8666666666666667,topk-0.1
0,0.053385685919731356,0.4,topk-0.5
1,0.10677137183946271,0.5,topk-0.5
2,0.1601570577591941,0.5,topk-0.5
3,0.21354274367892542,0.5333333333333333,topk-0.5
4,0.2669284295986568,0.5666666666666667,topk-0.5
5,0.3203141155183882,0.5666666666666667,topk-0.5
6,0.3736998014381195,0.5666666666666667,topk-0.5
7,0.42708548735785085,0.5666666666666667,topk-0.5
8,0.4804711732775823,0.5333333333333333,topk-0.5
9,0.5338568591973136,0.6333333333333333,topk-0.5
10,0.587242545117045,0.6333333333333333,topk-0.5
11,0.6406282310367764,0.6333333333333333,topk-0.5
12,0.6940139169565077,0.6,topk-0.5
13,0.747399602876239,0.6333333333333333,topk-0.5
14,0.8007852887959704,0.6666666666666666,topk-0.5
15,0.8541709747157017,0.6666666666666666,topk-0.5
16,0.9075566606354332,0.6666666666666666,topk-0.5
17,0.9609423465551646,0.6333333333333333,topk-0.5
18,1.0143280324748958,0.6666666666666666,topk-0.5
19,1.0677137183946273,0.6666666666666666,topk-0.5
0,0.059436871156211026,0.4,desired-0.1
1,0.11887374231242205,0.5333333333333333,desired-0.1
2,0.17831061346863308,0.5333333333333333,desired-0.1
3,0.2377474846248441,0.6666666666666666,desired-0.1
4,0.2971843557810551,0.7,desired-0.1
5,0.35662122693726617,0.7,desired-0.1
6,0.41605809809347716,0.7333333333333333,desired-0.1
7,0.4754949692496882,0.7333333333333333,desired-0.1
8,0.5349318404058993,0.7333333333333333,desired-0.1
9,0.5943687115621102,0.7,desired-0.1
10,0.6538055827183213,0.7333333333333333,desired-0.1
11,0.7132424538745323,0.7666666666666667,desired-0.1
12,0.7726793250307433,0.7666666666666667,desired-0.1
13,0.8321161961869543,0.7666666666666667,desired-0.1
14,0.8915530673431654,0.7666666666666667,desired-0.1
15,0.9509899384993764,0.7666666666666667,desired-0.1
16,1.0104268096555875,0.7666666666666667,desired-0.1
17,1.0698636808117985,0.7666666666666667,desired-0.1
18,1.1293005519680095,0.8,desired-0.1
19,1.1887374231242205,0.8,desired-0.1
0,0.08297312513519499,0.43333333333333335,masking-0.1
1,0.16594625027038998,0.5333333333333333,masking-0.1
2,0.24891937540558495,0.5333333333333333,masking-0.1
3,0.33189250054077996,0.5,masking-0.1
4,0.4148656256759749,0.5666666666666667,masking-0.1
5,0.4978387508111699,0.5666666666666667,masking-0.1
6,0.5808118759463649,0.5666666666666667,masking-0.1
7,0.6637850010815599,0.5666666666666667,masking-0.1
8,0.7467581262167547,0.5666666666666667,masking-0.1
9,0.8297312513519498,0.6333333333333333,masking-0.1
10,0.9127043764871448,0.6666666666666666,masking-0.1
11,0.9956775016223398,0.6,masking-0.1
12,1.0786506267575349,0.5666666666666667,masking-0.1
13,1.1616237518927297,0.6,masking-0.1
14,1.2445968770279245,0.6,masking-0.1
15,1.3275700021631198,0.6,masking-0.1
16,1.4105431272983149,0.6,masking-0.1
17,1.4935162524335095,0.6333333333333333,masking-0.1
18,1.5764893775687046,0.6333333333333333,masking-0.1
19,1.6594625027038996,0.6333333333333333,masking-0.1
0,0.07428399952105784,0.43333333333333335,topk-masking-0.1
1,0.14856799904211568,0.6333333333333333,topk-masking-0.1
2,0.22285199856317348,0.6,topk-masking-0.1
3,0.29713599808423136,0.5333333333333333,topk-masking-0.1
4,0.3714199976052892,0.6333333333333333,topk-masking-0.1
5,0.44570399712634695,0.6666666666666666,topk-masking-0.1
6,0.5199879966474048,0.7,topk-masking-0.1
7,0.5942719961684627,0.6666666666666666,topk-masking-0.1
8,0.6685559956895204,0.6333333333333333,topk-masking-0.1
9,0.7428399952105784,0.7,topk-masking-0.1
10,0.8171239947316361,0.6666666666666666,topk-masking-0.1
11,0.8914079942526939,0.6333333333333333,topk-masking-0.1
12,0.9656919937737518,0.6666666666666666,topk-masking-0.1
13,1.0399759932948096,0.6,topk-masking-0.1
14,1.1142599928158674,0.6333333333333333,topk-masking-0.1
15,1.1885439923369254,0.6,topk-masking-0.1
16,1.262827991857983,0.6,topk-masking-0.1
17,1.3371119913790408,0.6,topk-masking-0.1
18,1.4113959909000988,0.6,topk-masking-0.1
19,1.4856799904211568,0.6333333333333333,topk-masking-0.1
0,0.0484186610421785,0.4666666666666667,topk-masking-0.5
1,0.096837322084357,0.43333333333333335,topk-masking-0.5
2,0.1452559831265355,0.43333333333333335,topk-masking-0.5
3,0.193674644168714,0.4,topk-masking-0.5
4,0.2420933052108925,0.43333333333333335,topk-masking-0.5
5,0.290511966253071,0.4666666666666667,topk-masking-0.5
6,0.3389306272952495,0.43333333333333335,topk-masking-0.5
7,0.387349288337428,0.5,topk-masking-0.5
8,0.4357679493796065,0.5,topk-masking-0.5
9,0.484186610421785,0.5,topk-masking-0.5
10,0.5326052714639635,0.4666666666666667,topk-masking-0.5
11,0.581023932506142,0.4666666666666667,topk-masking-0.5
12,0.6294425935483204,0.4666666666666667,topk-masking-0.5
13,0.677861254590499,0.4666666666666667,topk-masking-0.5
14,0.7262799156326776,0.4666666666666667,topk-masking-0.5
15,0.774698576674856,0.4666666666666667,topk-masking-0.5
16,0.8231172377170346,0.4666666666666667,topk-masking-0.5
17,0.871535898759213,0.4666666666666667,topk-masking-0.5
18,0.9199545598013915,0.4666666666666667,topk-masking-0.5
19,0.96837322084357,0.4666666666666667,topk-masking-0.5
0,0.05501079254159017,0.4666666666666667,topk-desired-masking-0.1
1,0.11002158508318034,0.6333333333333333,topk-desired-masking-0.1
2,0.16503237762477052,0.5666666666666667,topk-desired-masking-0.1
3,0.22004317016636069,0.5333333333333333,topk-desired-masking-0.1
4,0.27505396270795085,0.6333333333333333,topk-desired-masking-0.1
5,0.33006475524954104,0.6666666666666666,topk-desired-masking-0.1
6,0.38507554779113123,0.6333333333333333,topk-desired-masking-0.1
7,0.44008634033272137,0.6,topk-desired-masking-0.1
8,0.49509713287431156,0.6333333333333333,topk-desired-masking-0.1
9,0.5501079254159017,0.6666666666666666,topk-desired-masking-0.1
10,0.6051187179574918,0.7,topk-desired-masking-0.1
11,0.6601295104990821,0.7,topk-desired-masking-0.1
12,0.7151403030406722,0.7,topk-desired-masking-0.1
13,0.7701510955822625,0.7,topk-desired-masking-0.1
14,0.8251618881238525,0.7,topk-desired-masking-0.1
15,0.8801726806654427,0.6666666666666666,topk-desired-masking-0.1
16,0.9351834732070329,0.6666666666666666,topk-desired-masking-0.1
17,0.9901942657486231,0.7,topk-desired-masking-0.1
18,1.0452050582902133,0.7,topk-desired-masking-0.1
19,1.1002158508318034,0.7,topk-desired-masking-0.1
0,0.04687144173446525,0.43333333333333335,topk-desired-masking-0.5
1,0.0937428834689305,0.43333333333333335,topk-desired-masking-0.5
2,0.14061432520339578,0.4,topk-desired-masking-0.5
3,0.187485766937861,0.43333333333333335,topk-desired-masking-0.5
4,0.2343572086723263,0.43333333333333335,topk-desired-masking-0.5
5,0.28122865040679157,0.4666666666666667,topk-desired-masking-0.5
6,0.3281000921412568,0.4666666666666667,topk-desired-masking-0.5
7,0.374971533875722,0.5,topk-desired-masking-0.5
8,0.4218429756101873,0.5,topk-desired-masking-0.5
9,0.4687144173446526,0.5333333333333333,topk-desired-masking-0.5
10,0.5155858590791178,0.5333333333333333,topk-desired-masking-0.5
11,0.5624573008135831,0.5666666666666667,topk-desired-masking-0.5
12,0.6093287425480484,0.5666666666666667,topk-desired-masking-0.5
13,0.6562001842825136,0.5666666666666667,topk-desired-masking-0.5
14,0.7030716260169788,0.5666666666666667,topk-desired-masking-0.5
15,0.749943067751444,0.5666666666666667,topk-desired-masking-0.5
16,0.7968145094859094,0.5666666666666667,topk-desired-masking-0.5
17,0.8436859512203746,0.5333333333333333,topk-desired-masking-0.5
18,0.8905573929548399,0.5333333333333333,topk-desired-masking-0.5
19,0.9374288346893052,0.5333333333333333,topk-desired-masking-0.5
0,0.08868363601307638,0.4,0.1
1,0.17736727202615277,0.6,0.1
2,0.2660509080392292,0.6,0.1
3,0.35473454405230553,0.6666666666666666,0.1
4,0.443418180065382,0.7,0.1
5,0.5321018160784584,0.7333333333333333,0.1
6,0.6207854520915348,0.7666666666666667,0.1
7,0.7094690881046111,0.8333333333333334,0.1
8,0.7981527241176876,0.8333333333333334,0.1
9,0.886836360130764,0.8333333333333334,0.1
10,0.9755199961438403,0.9,0.1
11,1.0642036321569168,0.8666666666666667,0.1
12,1.152887268169993,0.9,0.1
13,1.2415709041830696,0.9,0.1
14,1.3302545401961459,0.9333333333333333,0.1
15,1.4189381762092221,0.9666666666666667,0.1
16,1.5076218122222989,0.9666666666666667,0.1
17,1.5963054482353751,0.9666666666666667,0.1
18,1.6849890842484516,1.0,0.1
19,1.773672720261528,1.0,0.1
0,0.056936760013901994,0.36666666666666664,0.5
1,0.11387352002780399,0.4,0.5
2,0.17081028004170598,0.43333333333333335,0.5
3,0.22774704005560797,0.4666666666666667,0.5
4,0.28468380006950994,0.5333333333333333,0.5
5,0.34162056008341196,0.6,0.5
6,0.3985573200973139,0.5666666666666667,0.5
7,0.45549408011121595,0.5666666666666667,0.5
8,0.5124308401251179,0.6,0.5
9,0.5693676001390199,0.6,0.5
10,0.6263043601529219,0.6,0.5
11,0.6832411201668239,0.6,0.5
12,0.7401778801807258,0.6,0.5
13,0.7971146401946279,0.6333333333333333,0.5
14,0.8540514002085299,0.6333333333333333,0.5
15,0.9109881602224319,0.6333333333333333,0.5
16,0.9679249202363338,0.6666666666666666,0.5
17,1.0248616802502357,0.6666666666666666,0.5
18,1.0817984402641379,0.6666666666666666,0.5
19,1.1387352002780398,0.6666666666666666,0.5
0,0.0824323876957611,0.43333333333333335,topk-0.1
1,0.1648647753915222,0.5666666666666667,topk-0.1
2,0.24729716308728328,0.6,topk-0.1
3,0.3297295507830444,0.6333333333333333,topk-0.1
4,0.41216193847880545,0.7333333333333333,topk-0.1
5,0.49459432617456656,0.7333333333333333,topk-0.1
6,0.5770267138703277,0.8,topk-0.1
7,0.6594591015660888,0.8,topk-0.1
8,0.7418914892618499,0.8,topk-0.1
9,0.8243238769576109,0.8,topk-0.1
10,0.906756264653372,0.8333333333333334,topk-0.1
11,0.9891886523491331,0.8333333333333334,topk-0.1
12,1.0716210400448942,0.8333333333333334,topk-0.1
13,1.1540534277406553,0.8333333333333334,topk-0.1
14,1.2364858154364164,0.8333333333333334,topk-0.1
15,1.3189182031321776,0.8333333333333334,topk-0.1
16,1.4013505908279384,0.8333333333333334,topk-0.1
17,1.4837829785236998,0.8333333333333334,topk-0.1
18,1.5662153662194607,0.8666666666666667,topk-0.1
19,1.6486477539152218,0.8666666666666667,topk-0.1
0,0.053385685919731356,0.43333333333333335,topk-0.5
1,0.10677137183946271,0.43333333333333335,topk-0.5
2,0.1601570577591941,0.4666666666666667,topk-0.5
3,0.21354274367892542,0.5,topk-0.5
4,0.2669284295986568,0.5333333333333333,topk-0.5
5,0.3203141155183882,0.6,topk-0.5
6,0.3736998014381195,0.5666666666666667,topk-0.5
7,0.42708548735785085,0.5666666666666667,topk-0.5
8,0.4804711732775823,0.6,topk-0.5
9,0.5338568591973136,0.6333333333333333,topk-0.5
10,0.587242545117045,0.6,topk-0.5
11,0.6406282310367764,0.5666666666666667,topk-0.5
12,0.6940139169565077,0.6,topk-0.5
13,0.747399602876239,0.6,topk-0.5
14,0.8007852887959704,0.6,topk-0.5
15,0.8541709747157017,0.6333333333333333,topk-0.5
16,0.9075566606354332,0.6333333333333333,topk-0.5
17,0.9609423465551646,0.6666666666666666,topk-0.5
18,1.0143280324748958,0.6666666666666666,topk-0.5
19,1.0677137183946273,0.6666666666666666,topk-0.5
0,0.059436871156211026,0.4,desired-0.1
1,0.11887374231242205,0.5,desired-0.1
2,0.17831061346863308,0.5666666666666667,desired-0.1
3,0.2377474846248441,0.6666666666666666,desired-0.1
4,0.2971843557810551,0.7,desired-0.1
5,0.35662122693726617,0.7,desired-0.1
6,0.41605809809347716,0.7,desired-0.1
7,0.4754949692496882,0.7333333333333333,desired-0.1
8,0.5349318404058993,0.7333333333333333,desired-0.1
9,0.5943687115621102,0.7,desired-0.1
10,0.6538055827183213,0.7666666666666667,desired-0.1
11,0.7132424538745323,0.7666666666666667,desired-0.1
12,0.7726793250307433,0.7666666666666667,desired-0.1
13,0.8321161961869543,0.7666666666666667,desired-0.1
14,0.8915530673431654,0.7666666666666667,desired-0.1
15,0.9509899384993764,0.7666666666666667,desired-0.1
16,1.0104268096555875,0.7666666666666667,desired-0.1
17,1.0698636808117985,0.7333333333333333,desired-0.1
18,1.1293005519680095,0.7666666666666667,desired-0.1
19,1.1887374231242205,0.7666666666666667,desired-0.1
0,0.08297312513519499,0.4666666666666667,masking-0.1
1,0.16594625027038998,0.5333333333333333,masking-0.1
2,0.24891937540558495,0.5333333333333333,masking-0.1
3,0.33189250054077996,0.5333333333333333,masking-0.1
4,0.4148656256759749,0.6,masking-0.1
5,0.4978387508111699,0.6333333333333333,masking-0.1
6,0.5808118759463649,0.6666666666666666,masking-0.1
7,0.6637850010815599,0.6333333333333333,masking-0.1
8,0.7467581262167547,0.6333333333333333,masking-0.1
9,0.8297312513519498,0.6666666666666666,masking-0.1
10,0.9127043764871448,0.6666666666666666,masking-0.1
11,0.9956775016223398,0.7,masking-0.1
12,1.0786506267575349,0.7,masking-0.1
13,1.1616237518927297,0.7333333333333333,masking-0.1
14,1.2445968770279245,0.7,masking-0.1
15,1.3275700021631198,0.7,masking-0.1
16,1.4105431272983149,0.6666666666666666,masking-0.1
17,1.4935162524335095,0.7,masking-0.1
18,1.5764893775687046,0.7,masking-0.1
19,1.6594625027038996,0.7,masking-0.1
0,0.07428399952105784,0.5,topk-masking-0.1
1,0.14856799904211568,0.5666666666666667,topk-masking-0.1
2,0.22285199856317348,0.5333333333333333,topk-masking-0.1
3,0.29713599808423136,0.5333333333333333,topk-masking-0.1
4,0.3714199976052892,0.5666666666666667,topk-masking-0.1
5,0.44570399712634695,0.6333333333333333,topk-masking-0.1
6,0.5199879966474048,0.6,topk-masking-0.1
7,0.5942719961684627,0.6,topk-masking-0.1
8,0.6685559956895204,0.6,topk-masking-0.1
9,0.7428399952105784,0.6,topk-masking-0.1
10,0.8171239947316361,0.6333333333333333,topk-masking-0.1
11,0.8914079942526939,0.7,topk-masking-0.1
12,0.9656919937737518,0.7,topk-masking-0.1
13,1.0399759932948096,0.6666666666666666,topk-masking-0.1
14,1.1142599928158674,0.6666666666666666,topk-masking-0.1
15,1.1885439923369254,0.7,topk-masking-0.1
16,1.262827991857983,0.7,topk-masking-0.1
17,1.3371119913790408,0.7,topk-masking-0.1
18,1.4113959909000988,0.7,topk-masking-0.1
19,1.4856799904211568,0.7,topk-masking-0.1
0,0.0484186610421785,0.43333333333333335,topk-masking-0.5
1,0.096837322084357,0.4666666666666667,topk-masking-0.5
2,0.1452559831265355,0.5333333333333333,topk-masking-0.5
3,0.193674644168714,0.4666666666666667,topk-masking-0.5
4,0.2420933052108925,0.4666666666666667,topk-masking-0.5
5,0.290511966253071,0.5333333333333333,topk-masking-0.5
6,0.3389306272952495,0.5333333333333333,topk-masking-0.5
7,0.387349288337428,0.5333333333333333,topk-masking-0.5
8,0.4357679493796065,0.5,topk-masking-0.5
9,0.484186610421785,0.5666666666666667,topk-masking-0.5
10,0.5326052714639635,0.5333333333333333,topk-masking-0.5
11,0.581023932506142,0.5666666666666667,topk-masking-0.5
12,0.6294425935483204,0.5666666666666667,topk-masking-0.5
13,0.677861254590499,0.5333333333333333,topk-masking-0.5
14,0.7262799156326776,0.5,topk-masking-0.5
15,0.774698576674856,0.5,topk-masking-0.5
16,0.8231172377170346,0.5333333333333333,topk-masking-0.5
17,0.871535898759213,0.5333333333333333,topk-masking-0.5
18,0.9199545598013915,0.5333333333333333,topk-masking-0.5
19,0.96837322084357,0.5333333333333333,topk-masking-0.5
0,0.05501079254159017,0.43333333333333335,topk-desired-masking-0.1
1,0.11002158508318034,0.5666666666666667,topk-desired-masking-0.1
2,0.16503237762477052,0.5666666666666667,topk-desired-masking-0.1
3,0.22004317016636069,0.5666666666666667,topk-desired-masking-0.1
4,0.27505396270795085,0.6,topk-desired-masking-0.1
5,0.33006475524954104,0.6,topk-desired-masking-0.1
6,0.38507554779113123,0.6333333333333333,topk-desired-masking-0.1
7,0.44008634033272137,0.6666666666666666,topk-desired-masking-0.1
8,0.49509713287431156,0.6333333333333333,topk-desired-masking-0.1
9,0.5501079254159017,0.6333333333333333,topk-desired-masking-0.1
10,0.6051187179574918,0.7,topk-desired-masking-0.1
11,0.6601295104990821,0.6666666666666666,topk-desired-masking-0.1
12,0.7151403030406722,0.7,topk-desired-masking-0.1
13,0.7701510955822625,0.7,topk-desired-masking-0.1
14,0.8251618881238525,0.7,topk-desired-masking-0.1
15,0.8801726806654427,0.7,topk-desired-masking-0.1
16,0.9351834732070329,0.6666666666666666,topk-desired-masking-0.1
17,0.9901942657486231,0.7,topk-desired-masking-0.1
18,1.0452050582902133,0.7,topk-desired-masking-0.1
19,1.1002158508318034,0.7,topk-desired-masking-0.1
0,0.04687144173446525,0.43333333333333335,topk-desired-masking-0.5
1,0.0937428834689305,0.5,topk-desired-masking-0.5
2,0.14061432520339578,0.5,topk-desired-masking-0.5
3,0.187485766937861,0.4666666666666667,topk-desired-masking-0.5
4,0.2343572086723263,0.5,topk-desired-masking-0.5
5,0.28122865040679157,0.5666666666666667,topk-desired-masking-0.5
6,0.3281000921412568,0.5666666666666667,topk-desired-masking-0.5
7,0.374971533875722,0.5666666666666667,topk-desired-masking-0.5
8,0.4218429756101873,0.5666666666666667,topk-desired-masking-0.5
9,0.4687144173446526,0.6,topk-desired-masking-0.5
10,0.5155858590791178,0.6,topk-desired-masking-0.5
11,0.5624573008135831,0.6,topk-desired-masking-0.5
12,0.6093287425480484,0.6,topk-desired-masking-0.5
13,0.6562001842825136,0.6,topk-desired-masking-0.5
14,0.7030716260169788,0.6,topk-desired-masking-0.5
15,0.749943067751444,0.5666666666666667,topk-desired-masking-0.5
16,0.7968145094859094,0.5666666666666667,topk-desired-masking-0.5
17,0.8436859512203746,0.5666666666666667,topk-desired-masking-0.5
18,0.8905573929548399,0.5666666666666667,topk-desired-masking-0.5
19,0.9374288346893052,0.5666666666666667,topk-desired-masking-0.5
